City,Latitude,Longitude,Admin_Name,Capital,Population
Budapest,47.4925,19.0514,Budapest,primary,2997958
Debrecen,47.53,21.6392,Hajdú-Bihar,admin,328642
Székesfehérvár,47.1956,18.4089,Fejér,admin,272474
Gy?r,47.6842,17.6344,Gy?r-Moson-Sopron,admin,246159
Szeged,46.255,20.145,Csongrád-Csanád,admin,239025
Nyíregyháza,47.9531,21.7271,Szabolcs-Szatmár-Bereg,admin,238020
Kecskemét,46.9061,19.6897,Bács-Kiskun,admin,187835
Miskolc,48.0833,20.6667,Borsod-Abaúj-Zemplén,admin,150695
Szombathely,47.2351,16.6219,Vas,admin,147920
Pécs,46.0708,18.2331,Baranya,admin,140237
Veszprém,47.093,17.9138,Veszprém,admin,133880
Kaposvár,46.3638,17.7823,Somogy,admin,112253
Sopron,47.6849,16.5831,Sopron,admin,98479
Szolnok,47.1747,20.1965,Jász-Nagykun-Szolnok,admin,69725
Tatabánya,47.5862,18.3949,Komárom-Esztergom,admin,65145
Békéscsaba,46.679,21.091,Békés,admin,58002
Zalaegerszeg,46.8392,16.8511,Zala,admin,55470
Eger,47.899,20.3747,Heves,admin,51168
Nagykanizsa,46.455,16.9925,Nagykanizsa,admin,46866
Dunaújváros,46.9806,18.9127,Dunaújváros,admin,44200
Hódmez?vásárhely,46.4304,20.3188,Hódmez?vásárhely,admin,43311
Salgótarján,48.104,19.8075,Nógrád,admin,32304
Szekszárd,46.356,18.7038,Tolna,admin,30963
Szigethalom,47.3154,19.0078,Pest,,18352
Érd,47.3784,18.922,Pest,minor,70063
Dunakeszi,47.6303,19.1412,Pest,minor,43990
Szigetszentmiklós,47.3456,19.0483,Pest,minor,40519
Cegléd,47.1743,19.802,Pest,minor,35334
Baja,46.1833,18.9536,Bács-Kiskun,minor,34788
Mosonmagyaróvár,47.8737,17.2687,Gy?r-Moson-Sopron,minor,34439
Vác,47.7752,19.131,Pest,minor,32927
Gödöll?,47.6,19.3667,Pest,minor,31779
Ózd,48.2192,20.2869,Borsod-Abaúj-Zemplén,minor,31234
